"","identifier","chromosome_name","start_position","end_position","strand","ensembl_gene_id","hgnc_symbol"
"163","loop_17","11",120111286,120185529,-1,"ENSG00000137699, ENSG00000304053, ENSG00000184232","TRIM29,  OAF"
"164","loop_170","4",20728606,21948772,-1,"ENSG00000185774, ENSG00000280650, ENSG00000250039, ENSG00000239001, ENSG00000306933, ENSG00000308989, ENSG00000289849, ENSG00000309702, ENSG00000152990","KCNIP4, KCNIP4-IT1,  RNU6-420P, ADGRA3"
"165","loop_171","4",41303237,41303337,-1,"ENSG00000207481, ENSG00000064042, ENSG00000239627, ENSG00000300437, ENSG00000287762","LIMCH1, RPL12P20"
"166","loop_172","4",42281830,42391651,-1,"ENSG00000250781, ENSG00000289643, ENSG00000299873, ENSG00000178343, ENSG00000124406, ENSG00000240167","SHISA3, ATP8A1, RPS7P7"
"167","loop_173","4",42408373,42657121,-1,"ENSG00000124406, ENSG00000260519, ENSG00000251517","ATP8A1, ATP8A1-DT"
"168","loop_174","4",46243548,46475230,-1,"ENSG00000151834, ENSG00000249330, ENSG00000252243","GABRA2,  RNU6-412P"
"169","loop_175","4",77157207,77433388,1,"ENSG00000138764","CCNG2"
"170","loop_176","4",81087370,81215222,-1,"ENSG00000138669, ENSG00000251059, ENSG00000303498, ENSG00000207065","PRKG2, PRKG2-AS1,  RNU5A-2P"
"171","loop_177","4",83459517,83523348,-1,"ENSG00000163322, ENSG00000138678, ENSG00000201633","ABRAXAS1, GPAT3"
"172","loop_178","5",111192226,111193042,-1,"ENSG00000214784, ENSG00000152495, ENSG00000288965, ENSG00000249318, ENSG00000248268","RPS3AP21, CAMK4"
"173","loop_179","5",129500361,129905980,-1,"ENSG00000251680",""
"174","loop_18","11",122028325,122556721,-1,"ENSG00000255248, ENSG00000301719, ENSG00000255219, ENSG00000301744, ENSG00000252776, ENSG00000253035, ENSG00000298282","MIR100HG,  RNU4ATAC10P, RNU4ATAC5P"
"175","loop_180","5",134157088,134225861,-1,"ENSG00000272772, ENSG00000113575, ENSG00000273345, ENSG00000266751, ENSG00000270177, ENSG00000307934, ENSG00000239615, ENSG00000006837","PPP2CA, MIR3661, PPP2CA-DT, CDKL3"
"176","loop_182","5",147390808,147510068,-1,"ENSG00000113657, ENSG00000280780","DPYSL3, JAKMIP2-AS1"
"177","loop_183","5",151822513,151924851,-1,"ENSG00000145888, ENSG00000270978, ENSG00000302741, ENSG00000222308, ENSG00000293808, ENSG00000293830, ENSG00000254226","GLRA1,  RNA5SP198, LINC01933"
"178","loop_184","5",159310579,159805536,1,"ENSG00000249738, ENSG00000253298, ENSG00000283413, ENSG00000253311, ENSG00000170214, ENSG00000306315, ENSG00000248626","LINC01845, LINC01847, ADRA1B, GAPDHP40"
"179","loop_185","5",16661907,16936288,-1,"ENSG00000145555, ENSG00000253093, ENSG00000243538, ENSG00000201436, ENSG00000303807, ENSG00000176788, ENSG00000215196, ENSG00000271892, ENSG00000206814, ENSG00000251990","MYO10, RNA5SP179, RPS26P28, RNU6-660P,  BASP1, BASP1-AS1, RNA5SP180"
"180","loop_186","5",170105897,170109734,1,"ENSG00000168269, ENSG00000253219","FOXI1, KRT18P41"
"181","loop_187","5",170229104,170252575,1,"ENSG00000234511, ENSG00000043462, ENSG00000300307, ENSG00000300367, ENSG00000300327, ENSG00000288615, ENSG00000235172, ENSG00000250274, ENSG00000300272, ENSG00000300347, ENSG00000307023, ENSG00000300575, ENSG00000182132, ENSG00000145936, ENSG00000253647","C5orf58, LCP2,  LINC01366, KCNIP1, KCNMB1, KCNIP1-OT1"
"182","loop_188","5",174336250,174532457,1,"ENSG00000249306, ENSG00000298839, ENSG00000298768, ENSG00000298858, ENSG00000298815, ENSG00000213376, ENSG00000249031, ENSG00000250256, ENSG00000301900, ENSG00000248929, ENSG00000306781, ENSG00000120149","LINC01411,  GAPDHP71, SUMO2P6, HIGD1AP3, MSX2"
"183","loop_189","5",44495094,44809850,-1,"ENSG00000251141, ENSG00000263556, ENSG00000248779","MRPS30-DT, RN7SL383P"
"184","loop_19","11",125903247,125939042,-1,"ENSG00000255027, ENSG00000109832, ENSG00000254790, ENSG00000283703, ENSG00000064309, ENSG00000254759, ENSG00000261257, ENSG00000300825, ENSG00000287666, ENSG00000310186, ENSG00000310207, ENSG00000254833, ENSG00000254771","DDX25, VSIG10L2, CDON, NAP1L1P1"
"185","loop_191","5",81972023,82276857,1,"ENSG00000152348","ATG10"
"186","loop_192","5",95962001,96631085,1,"ENSG00000153113, ENSG00000310517, ENSG00000175426, ENSG00000301420, ENSG00000293684","CAST,  PCSK1"
"187","loop_193","6",127343397,127464534,1,"ENSG00000299250, ENSG00000255330, ENSG00000214338, ENSG00000184530","MTCL3, C6orf58"
"188","loop_195","6",13924446,13980310,1,"ENSG00000180537, ENSG00000220868, ENSG00000233981, ENSG00000294625","RNF182, MRPL35P1"
"189","loop_196","6",15730040,15758212,-1,"ENSG00000299570, ENSG00000289953, ENSG00000304953, ENSG00000304900, ENSG00000304937, ENSG00000304921, ENSG00000214027, ENSG00000232947, ENSG00000274212, ENSG00000217585, ENSG00000007944, ENSG00000263712, ENSG00000218073, ENSG00000217078, ENSG00000216364, ENSG00000298476","ARPC3P5, LINC02543, MDH1P2, MYLIP, MIR4639, PERPP3, MRPL42P2"
"190","loop_197","6",24171755,24358059,-1,"ENSG00000146038, ENSG00000146049, ENSG00000202050","DCDC2, KAAG1, RNU6-391P"
"191","loop_198","6",25061611,25452263,-1,"ENSG00000293489, ENSG00000079691, ENSG00000207286, ENSG00000207490","CMAHP, CARMIL1,  RNU6-987P"
"192","loop_199","6",33540046,33589244,1,"ENSG00000293518, ENSG00000204188, ENSG00000197251, ENSG00000309063, ENSG00000309080, ENSG00000096433, ENSG00000299591, ENSG00000301290, ENSG00000137288, ENSG00000266509","GGNBP1, LINC00336, ITPR3, ITPR3-AS1, UQCC2, MIR3934"
"193","loop_2","10",104268873,104304950,1,"ENSG00000065621, ENSG00000228261, ENSG00000148841, ENSG00000270075, ENSG00000287779, ENSG00000231233","GSTO2, ITPRIP-AS1, ITPRIP,  CFAP58-DT"
"194","loop_20","11",128875874,128906044,-1,"ENSG00000174370, ENSG00000120457, ENSG00000120471","KCNJ5-AS1, KCNJ5, TP53AIP1"
"195","loop_200","6",39329990,39725408,-1,"ENSG00000164627, ENSG00000231276, ENSG00000252990, ENSG00000146122, ENSG00000308921, ENSG00000281969, ENSG00000235033","KIF6, E2F4P1, RNU1-54P, DAAM2,  DAAM2-AS1"
"196","loop_201","6",63719980,65707226,-1,"ENSG00000188107","EYS"
"197","loop_202","6",85320314,85404911,-1,"ENSG00000234155, ENSG00000216439, ENSG00000214460, ENSG00000135318","LINC02535, DUTP5, TPT1P6, NT5E"
"198","loop_204","7",143026200,143027132,-1,"ENSG00000179468, ENSG00000239293, ENSG00000225781, ENSG00000290761, ENSG00000179420, ENSG00000159763, ENSG00000236398, ENSG00000304850","OR9A2, OR9P1P, OR6V1,  OR6W1P, PIP, TAS2R39"
"199","loop_206","7",35976554,36028561,-1,"ENSG00000287893, ENSG00000232930, ENSG00000285573, ENSG00000306408, ENSG00000205745, ENSG00000261184, ENSG00000305845, ENSG00000228815, ENSG00000271117, ENSG00000122547, ENSG00000228770, ENSG00000229679","MARK2P13, EEPD1"
"200","loop_207","7",45157791,45186302,1,"ENSG00000122679, ENSG00000289251, ENSG00000305497, ENSG00000303084, ENSG00000303071","RAMP3"
"201","loop_208","7",48171458,48647497,1,"ENSG00000179869, ENSG00000228173, ENSG00000285536, ENSG00000298673, ENSG00000309162, ENSG00000225705, ENSG00000279578, ENSG00000310317","ABCA13,  LINC02838"
"202","loop_209","7",73593194,73624543,-1,"ENSG00000009950, ENSG00000274080, ENSG00000176428, ENSG00000176410, ENSG00000071462, ENSG00000106089, ENSG00000265724, ENSG00000293503","MLXIPL,  VPS37D, DNAJC30, BUD23, STX1A, MIR4284"
"203","loop_21","11",129375848,129452279,1,"ENSG00000043039, ENSG00000240121, ENSG00000281386, ENSG00000281097, ENSG00000307144, ENSG00000301999, ENSG00000287426, ENSG00000304507","BARX2, RPS27P20,  LINC01395"
"204","loop_211","7",84995553,85187056,-1,"ENSG00000153993","SEMA3D"
"205","loop_212","7",87235736,87319218,-1,"ENSG00000299752, ENSG00000182165, ENSG00000273623, ENSG00000276185, ENSG00000005469, ENSG00000005471","TP53TG1, CROT, ABCB4"
"206","loop_213","7",94071759,94396576,-1,"ENSG00000285090, ENSG00000285964, ENSG00000164692","COL1A2"
"207","loop_214","7",95542145,95544542,1,"ENSG00000279525, ENSG00000231170, ENSG00000004799, ENSG00000306537, ENSG00000302505, ENSG00000302522","PDK4-AS1, PDK4"
"208","loop_215","7",95772506,96110322,1,"ENSG00000158560","DYNC1I1"
"209","loop_216","8",13044350,13044456,1,"ENSG00000206996, ENSG00000303772, ENSG00000300589, ENSG00000164741, ENSG00000287134, ENSG00000200630, ENSG00000253932, ENSG00000253257, ENSG00000252179, ENSG00000164743, ENSG00000254491, ENSG00000286798, ENSG00000306005","RNU6-842P,  DLC1, MTND4P7, RNA5SP255, C8orf48"
"210","loop_217","8",128634199,129723023,-1,"ENSG00000229140, ENSG00000307578, ENSG00000253926, ENSG00000263763","CCDC26,  MIR3686"
"211","loop_218","8",132120861,132481095,-1,"ENSG00000184156, ENSG00000300942","KCNQ3"
"212","loop_219","8",138588235,138914041,-1,"ENSG00000169436, ENSG00000309934","COL22A1"
"213","loop_22","11",13251887,13267487,1,"ENSG00000302524, ENSG00000290083, ENSG00000133794","BMAL1"
"214","loop_220","8",24169001,24912073,-1,"ENSG00000253535, ENSG00000300738, ENSG00000042980, ENSG00000134028","ADAM7-AS1,  ADAM28, ADAMDEC1"
"215","loop_222","8",41653220,41896741,-1,"ENSG00000029534, ENSG00000289514, ENSG00000207101, ENSG00000260588, ENSG00000293664","ANK1"
"216","loop_223","8",42697366,42737407,1,"ENSG00000147432, ENSG00000255101, ENSG00000296650, ENSG00000255361, ENSG00000147434","CHRNB3,  RPL7L1P17, CHRNA6"
"217","loop_224","8",52110838,52460959,-1,"ENSG00000147488, ENSG00000254314, ENSG00000253551, ENSG00000253924, ENSG00000240534, ENSG00000295344","ST18,  RPL34P17"
"218","loop_225","8",52622458,52745843,-1,"ENSG00000023287, ENSG00000288818, ENSG00000288611","RB1CC1,  NPBWR1"
"219","loop_227","8",71828167,72118393,1,"ENSG00000235531, ENSG00000104321, ENSG00000304428","MSC-AS1, TRPA1"
"220","loop_228","8",8629345,8782493,-1,"ENSG00000254367, ENSG00000147324, ENSG00000293372, ENSG00000200713, ENSG00000270966, ENSG00000207244, ENSG00000233609, ENSG00000298127","MFHAS1, RNU6-682P, RPL10P19"
"221","loop_229","8",9002147,9116746,1,"ENSG00000104626, ENSG00000263407, ENSG00000239078, ENSG00000197334, ENSG00000295900, ENSG00000173281, ENSG00000254340, ENSG00000248538, ENSG00000306870, ENSG00000253252, ENSG00000253887, ENSG00000254091, ENSG00000298955, ENSG00000207415","ERI1, MIR4660, RNU7-55P,  PPP1R3B, PPP1R3B-DT, RNU6-1151P"
"222","loop_23","1",114854863,114995370,1,"ENSG00000198765, ENSG00000134200, ENSG00000134198, ENSG00000297416, ENSG00000233730","SYCP1, TSHB, TSPAN2,  LINC01765"
"223","loop_230","9",114126810,114129435,1,"ENSG00000304343, ENSG00000196739, ENSG00000207726, ENSG00000297028","COL27A1, MIR455"
"224","loop_232","9",26066675,26118408,1,"ENSG00000276759, ENSG00000309811","LINC03106"
"225","loop_233","9",5447728,5449914,-1,"ENSG00000296444, ENSG00000120217, ENSG00000286162, ENSG00000309015, ENSG00000197646, ENSG00000231509","CD274, PDCD1LG2"
"226","loop_234","9",68509620,68634901,-1,"ENSG00000234506, ENSG00000226337, ENSG00000299330, ENSG00000224025, ENSG00000300573, ENSG00000107242, ENSG00000187866, ENSG00000236998, ENSG00000236733, ENSG00000207000, ENSG00000288771","LINC01506, TMEM252-DT,  PIP5K1B, PABIR1, RNU6-820P"
"227","loop_235","9",70010139,70258924,-1,"ENSG00000204706, ENSG00000165072","MAMDC2-AS1, MAMDC2"
"228","loop_236","9",73445632,73726699,1,"ENSG00000232590, ENSG00000293610, ENSG00000305891, ENSG00000212454, ENSG00000223368, ENSG00000303235, ENSG00000303250, ENSG00000224825, ENSG00000227809","RNA5SP286, RORB-AS1"
"229","loop_237","X",110002631,110184247,1,"ENSG00000157600, ENSG00000101935, ENSG00000208883, ENSG00000224142, ENSG00000133136, ENSG00000243978","TMEM164, AMMECR1, SNORD96B, AMMECR1-IT1, GNG5B, RTL9"
"230","loop_238","X",138397351,138397628,1,"ENSG00000252163, ENSG00000183981, ENSG00000214930, ENSG00000285989, ENSG00000129682, ENSG00000232183, ENSG00000207800, ENSG00000296573, ENSG00000226031, ENSG00000301498","RN7SKP31, MAGEA13P, KRT8P6, H2AQ1P, FGF13,  MIR504, FGF13-AS1"
"231","loop_239","X",23701055,23766475,-1,"ENSG00000123130, ENSG00000233785, ENSG00000202272, ENSG00000130066, ENSG00000288706, ENSG00000296180, ENSG00000184831, ENSG00000238103, ENSG00000296151","ACOT9, SAT1-DT,  SAT1, APOO, RPL9P7"
"232","loop_24","1",115145694,115147996,-1,"ENSG00000303558, ENSG00000306267, ENSG00000302114, ENSG00000228035, ENSG00000285698, ENSG00000134259, ENSG00000287103, ENSG00000303353","NGF-AS1, NGF"
"233","loop_240","X",37349330,38687674,1,"ENSG00000250349, ENSG00000165168, ENSG00000165169, ENSG00000301765, ENSG00000206983, ENSG00000298012, ENSG00000259977, ENSG00000224339, ENSG00000187516, ENSG00000229674, ENSG00000147041, ENSG00000221466, ENSG00000101955","CYBB, DYNLT3, RNU6-49P, SC4MOP, H2AP, H2AL3, SYTL5, MIR548AJ2, SRPX"
"234","loop_241","X",73875068,73875635,1,"ENSG00000182707, ENSG00000230590, ENSG00000225470, ENSG00000274430, ENSG00000276784, ENSG00000271199","FXYD6P3, FTX, JPX"
"235","loop_242","X",10015254,10144474,1,"ENSG00000047644, ENSG00000225076, ENSG00000307968, ENSG00000202469","WWC3, WWC3-AS1"
"236","loop_243","11",72478221,72479237,1,"ENSG00000237408, ENSG00000294240, ENSG00000294254, ENSG00000238048, ENSG00000290016, ENSG00000300856, ENSG00000276109, ENSG00000306221, ENSG00000274664, ENSG00000227467","ART2BP,  ART2P, LINC01537"
"237","loop_244","12",68842197,68971570,-1,"ENSG00000135678, ENSG00000252770, ENSG00000257289, ENSG00000257336, ENSG00000309659","CPM, RNU7-4P,  PRELID2P1"
"238","loop_245","10",89430299,89556641,-1,"ENSG00000152779, ENSG00000234452","SLC16A12, SLC16A12-AS1"
"239","loop_246","6",40858022,41028130,-1,"ENSG00000293636, ENSG00000296599, ENSG00000124602","UNC5CL"
"240","loop_247","11",124633113,124695707,-1,"ENSG00000110013, ENSG00000064199, ENSG00000309835, ENSG00000154146, ENSG00000255045, ENSG00000019102, ENSG00000149564, ENSG00000250073","SIAE, SPA17,  NRGN, VSIG2, ESAM, ESAM-AS1"
"241","loop_248","8",22275316,22357568,1,"ENSG00000197181, ENSG00000297857, ENSG00000104635","PIWIL2,  SLC39A14"
"242","loop_249","11",85957175,86069882,-1,"ENSG00000073921, ENSG00000309910, ENSG00000200877, ENSG00000254699, ENSG00000254502, ENSG00000074266, ENSG00000276669","PICALM,  RNU6-560P, LINC02695, FNTAP1, EED"
"243","loop_25","1",115145694,115147996,-1,"ENSG00000303558, ENSG00000306267, ENSG00000302114, ENSG00000228035, ENSG00000285698, ENSG00000134259, ENSG00000287103, ENSG00000303353, ENSG00000226973, ENSG00000274468, ENSG00000306104, ENSG00000308155, ENSG00000229101, ENSG00000232185, ENSG00000270631","NGF-AS1, NGF, ELOCP20, CNOT7P2"
"244","loop_251","6",137647887,137777092,1,"ENSG00000230533, ENSG00000303318, ENSG00000220412, ENSG00000305792, ENSG00000305809, ENSG00000306931, ENSG00000234956, ENSG00000306948, ENSG00000207300, ENSG00000306090, ENSG00000299085, ENSG00000308524, ENSG00000299400, ENSG00000237499, ENSG00000118503","LINC03004,  PTPN11P3, LINC02539, WAKMAR2, TNFAIP3"
"245","loop_253","8",38728186,38853028,1,"ENSG00000147526, ENSG00000253829, ENSG00000301336, ENSG00000169499","TACC1,  PLEKHA2"
"246","loop_254","20",32443059,32585333,-1,"ENSG00000197183, ENSG00000302638, ENSG00000233293, ENSG00000204393, ENSG00000198547, ENSG00000285382","NOL4L,  NOL4L-DT, C20orf203"
"247","loop_255","6",24804282,25042170,-1,"ENSG00000111913, ENSG00000288887, ENSG00000299278, ENSG00000217083, ENSG00000299310, ENSG00000214975, ENSG00000299293","RIPOR2,  MTCO2P33, PPIAP29"
"248","loop_256","11",61950063,61965515,1,"ENSG00000167995, ENSG00000167996, ENSG00000303745, ENSG00000279491, ENSG00000303794, ENSG00000303760, ENSG00000303779, ENSG00000244176, ENSG00000294228, ENSG00000255553, ENSG00000254424","BEST1, FTH1,  LINC02733"
"249","loop_257","15",32765544,33194714,-1,"ENSG00000248905, ENSG00000299239","FMN1"
"250","loop_259","22",35501861,35503586,-1,"ENSG00000233388, ENSG00000273044, ENSG00000100302, ENSG00000304364","TRMT112P8,  RASD2"
"251","loop_26","1",115698038,115837921,-1,"ENSG00000118729, ENSG00000177551, ENSG00000214204, ENSG00000228127, ENSG00000271143, ENSG00000303689, ENSG00000163393","CASQ2, NHLH2, HNRNPA1P43, LINC01649,  SLC22A15"
"252","loop_260","17",48642627,48707346,1,"ENSG00000244649, ENSG00000244559, ENSG00000242067, ENSG00000305471, ENSG00000241788, ENSG00000305489, ENSG00000159182, ENSG00000229637, ENSG00000273750, ENSG00000305503, ENSG00000277542, ENSG00000263602, ENSG00000159184, ENSG00000242407, ENSG00000305838, ENSG00000170703, ENSG00000244514","LINC02086,  RPL9P28, COX6B1P2, PRAC1, PRAC2, MIR3185, HOXB13, TTLL6, RN7SL125P"
"253","loop_261","17",40624962,40648654,-1,"ENSG00000073584, ENSG00000264058, ENSG00000278834, ENSG00000213424, ENSG00000300052, ENSG00000224244, ENSG00000300075, ENSG00000167916, ENSG00000291165, ENSG00000229028, ENSG00000204897, ENSG00000186393, ENSG00000171446, ENSG00000298797, ENSG00000173908","SMARCE1,  KRT222, KRT224P, KRT24, KRT223P, KRT25, KRT26, KRT27, KRT28"
"254","loop_262","17",49878915,49888103,-1,"ENSG00000297233, ENSG00000248954, ENSG00000297253, ENSG00000249176, ENSG00000199492, ENSG00000108813, ENSG00000300397, ENSG00000064195, ENSG00000248172","RNU6-1313P, DLX4, DLX3"
"255","loop_263","7",34287269,34871582,-1,"ENSG00000197085","NPSR1-AS1"
"256","loop_265","1",31409565,31434680,1,"ENSG00000168528, ENSG00000305880, ENSG00000305901, ENSG00000215899, ENSG00000206981, ENSG00000293391, ENSG00000260386, ENSG00000265961, ENSG00000284543","SERINC2,  EEF1A1P46, RNU6-40P, LDC1P, LINC01226"
"257","loop_266","X",129645259,129654956,-1,"ENSG00000171388, ENSG00000294999, ENSG00000308713, ENSG00000287024","APLN"
"258","loop_267","21",39525583,39529855,1,"ENSG00000235012, ENSG00000184809, ENSG00000183778, ENSG00000225330","JCADP1, B3GALT5-AS1, B3GALT5"
"259","loop_268","14",88005135,88014811,1,"ENSG00000140030, ENSG00000258826, ENSG00000258867, ENSG00000258975, ENSG00000258538","GPR65, LINC01147, HISLA"
"260","loop_269","11",65711996,65719604,1,"ENSG00000172977, ENSG00000172922, ENSG00000297007, ENSG00000214659, ENSG00000309321, ENSG00000255557, ENSG00000254470, ENSG00000309898, ENSG00000172818, ENSG00000255120, ENSG00000255404, ENSG00000303001, ENSG00000302979","KAT5, RNASEH2C,  KRT8P26, AP5B1, OVOL1, OVOL1-AS1"
"261","loop_27","1",11806096,11848079,1,"ENSG00000011021, ENSG00000276470, ENSG00000278852, ENSG00000175206, ENSG00000275915, ENSG00000120937, ENSG00000224904","CLCN6,  NPPA, NPPB, SBF1P2"
"262","loop_270","5",32522758,32523865,1,"ENSG00000249142, ENSG00000113387, ENSG00000301671","TMEM183AP2, SUB1"
"263","loop_271","3",16265160,16350299,1,"ENSG00000154814, ENSG00000131378, ENSG00000271964, ENSG00000272498, ENSG00000272529, ENSG00000287377, ENSG00000288050, ENSG00000297918, ENSG00000293841, ENSG00000233570","OXNAD1, RFTN1,  LINC00690"
"264","loop_272","4",111803231,112112273,-1,"ENSG00000249815, ENSG00000288691, ENSG00000288685","LINC02945"
"265","loop_273","1",181317690,181813262,1,"ENSG00000198216, ENSG00000252977, ENSG00000287452, ENSG00000222397","CACNA1E, RNA5SP70,  RN7SKP229"
"266","loop_276","3",49534453,49554374,-1,"ENSG00000226913, ENSG00000306296, ENSG00000164061, ENSG00000235120","BSN-DT,  BSN, BSN-AS1"
"267","loop_277","3",133400056,133475222,1,"ENSG00000170819, ENSG00000249993, ENSG00000214301, ENSG00000272832, ENSG00000250983, ENSG00000201827, ENSG00000091527","BFSP2, BFSP2-AS1, MAF1P1,  FAM76AP1, CDV3"
"268","loop_279","6",111087503,111231194,1,"ENSG00000112394, ENSG00000200926, ENSG00000231046","SLC16A10, RNU6-960P, MFSD4B-DT"
"269","loop_28","1",12063303,12144207,1,"ENSG00000120949, ENSG00000294285, ENSG00000301863, ENSG00000283789, ENSG00000028137, ENSG00000296888, ENSG00000263676","TNFRSF8,  MIR7846, TNFRSF1B, MIR4632"
"270","loop_280","3",27106484,27369460,-1,"ENSG00000163491, ENSG00000224237, ENSG00000294122","NEK10, MICOS10P3"
"271","loop_282","10",127907103,128085855,1,"ENSG00000132334, ENSG00000232259, ENSG00000227076","PTPRE"
"272","loop_284","3",172505508,172523475,-1,"ENSG00000121858, ENSG00000224611, ENSG00000223387, ENSG00000296986","TNFSF10, TBPL1P1, LINC02068"
"273","loop_285","9",7397282,7401883,-1,"ENSG00000303472, ENSG00000230207","RPL4P5"
"274","loop_286","16",71366933,71426464,-1,"ENSG00000261348, ENSG00000262120, ENSG00000260734, ENSG00000262008, ENSG00000167377, ENSG00000261611, ENSG00000247324, ENSG00000157429","LINC02136,  TLE7, ZNF23, ZNF19"
"275","loop_287","4",77047155,77076309,-1,"ENSG00000118816, ENSG00000288888, ENSG00000289496, ENSG00000214062, ENSG00000271676, ENSG00000201641, ENSG00000304316, ENSG00000138764","CCNI,  RPL7P17, RNU6-1187P, CCNG2"
"276","loop_289","8",123497889,123541206,-1,"ENSG00000156804, ENSG00000254113, ENSG00000251840, ENSG00000308850, ENSG00000253286, ENSG00000175946, ENSG00000308833, ENSG00000104537","FBXO32,  RN7SKP155, KLHL38, ANXA13"
"277","loop_29","11",31812391,32104665,1,"ENSG00000285283, ENSG00000254584, ENSG00000254627, ENSG00000212551, ENSG00000255490, ENSG00000049449, ENSG00000255252, ENSG00000227160, ENSG00000255375","LINC03031, EIF4A2P5, RCN1, THEM7P"
"278","loop_290","2",69457997,69674349,-1,"ENSG00000115977, ENSG00000232228, ENSG00000229948, ENSG00000196975, ENSG00000289250, ENSG00000297346, ENSG00000231024","AAK1, RPL36AP16, B3GALNT1P1, ANXA4"
"279","loop_291","10",30403197,30403776,-1,"ENSG00000224473, ENSG00000289874, ENSG00000107968, ENSG00000307302, ENSG00000213778, ENSG00000289898, ENSG00000287420, ENSG00000309884, ENSG00000228800, ENSG00000239744, ENSG00000230298, ENSG00000285630","CCND3P1,  MAP3K8, HNRNPA1P32, RN7SL63P"
"280","loop_292","9",27325209,27529814,-1,"ENSG00000120162, ENSG00000237734, ENSG00000300243, ENSG00000287355, ENSG00000147896, ENSG00000285103","MOB3B,  IFNK, EMICERI"
"281","loop_293","3",130746889,130787428,1,"ENSG00000306123, ENSG00000306101, ENSG00000222783, ENSG00000285631, ENSG00000232829, ENSG00000017260, ENSG00000284095","RN7SKP212, GSTO3P, ATP2C1"
"282","loop_294","2",101007228,101252866,-1,"ENSG00000204634, ENSG00000271532, ENSG00000272902","TBC1D8, BBIP1P1, TBC1D8-AS1"
"283","loop_295","3",122527924,122564577,-1,"ENSG00000138496, ENSG00000163840, ENSG00000173200, ENSG00000243918, ENSG00000295375","PARP9, DTX3L, PARP15, EIF4BP8"
"284","loop_296","18",31542146,31556948,-1,"ENSG00000264859, ENSG00000118271, ENSG00000294516, ENSG00000118276, ENSG00000259985, ENSG00000289064, ENSG00000200472","DSG2-AS1, TTR,  B4GALT6, RN7SKP44"
"285","loop_297","17",61591184,61663869,1,"ENSG00000310374, ENSG00000136492","BRIP1"
"286","loop_298","15",33235542,33310587,-1,"ENSG00000293377, ENSG00000259446, ENSG00000309207, ENSG00000198838, ENSG00000295407","RYR3-DT, RYR3"
"287","loop_3","10",113679162,113730907,1,"ENSG00000165806, ENSG00000234393, ENSG00000148735, ENSG00000283656, ENSG00000212589, ENSG00000198924, ENSG00000288933, ENSG00000294618, ENSG00000196865, ENSG00000287857, ENSG00000297898, ENSG00000295457, ENSG00000295421, ENSG00000295437, ENSG00000295477, ENSG00000043591, ENSG00000304538, ENSG00000296621, ENSG00000285540","CASP7,  PLEKHS1, MIR4483, DCLRE1A, NHLRC2, ADRB1"
"288","loop_30","11",33858576,33892076,-1,"ENSG00000135363, ENSG00000184566, ENSG00000308500","LMO2"
"289","loop_301","10",77790791,77926755,-1,"ENSG00000151208, ENSG00000204049, ENSG00000309676, ENSG00000243446, ENSG00000233871, ENSG00000148606, ENSG00000234612, ENSG00000274686","DLG5,  RN7SL284P, DLG5-AS1, POLR3A, H2AZP5"
"290","loop_302","4",153466346,153636711,1,"ENSG00000121210, ENSG00000287216, ENSG00000290441, ENSG00000300572, ENSG00000248208, ENSG00000250771, ENSG00000137462, ENSG00000145428, ENSG00000249309","TMEM131L,  WDR45P1, TLR2, RNF175"
"291","loop_303","12",113054062,113054435,1,"ENSG00000242461, ENSG00000135144, ENSG00000111344, ENSG00000295497, ENSG00000303542, ENSG00000186710","RPS15AP32, DTX1, RASAL1,  CFAP73"
"292","loop_304","10",48446036,48656265,-1,"ENSG00000128805, ENSG00000251413","ARHGAP22"
"293","loop_306","4",55004425,55016245,1,"ENSG00000298277, ENSG00000298268, ENSG00000252815, ENSG00000250646, ENSG00000244034, ENSG00000128052, ENSG00000296485, ENSG00000287060, ENSG00000239545, ENSG00000250812, ENSG00000206839, ENSG00000250464","RNU6-410P, RN7SL424P, KDR, RN7SL822P, METTL5P3, RNU6-746P, LRRC34P2"
"294","loop_307","3",36712421,36764553,-1,"ENSG00000163673, ENSG00000292977, ENSG00000230067, ENSG00000279727, ENSG00000281100, ENSG00000168016","DCLK3,  HSPD1P6, LINC02033, TRANK1"
"295","loop_308","10",113820459,113820590,1,"ENSG00000212589, ENSG00000198924, ENSG00000288933, ENSG00000294618, ENSG00000196865, ENSG00000287857, ENSG00000297898, ENSG00000295457, ENSG00000295421, ENSG00000295437, ENSG00000295477, ENSG00000043591, ENSG00000304538, ENSG00000296621, ENSG00000285540","DCLRE1A, NHLRC2, ADRB1"
"296","loop_309","1",45329262,45491155,-1,"ENSG00000288208, ENSG00000070759, ENSG00000236872, ENSG00000280670","TESK2, PPIAP36, CCDC163"
"297","loop_31","1",15236521,15400283,1,"ENSG00000142621, ENSG00000228140, ENSG00000233485, ENSG00000236045, ENSG00000142634","FHAD1, EFHD2-AS1, FHAD1-AS1,  EFHD2"
